firstnames,Lastnames,DOB,annee_bacc
416. Reed,A417,6/1/1950,3/25/1980
417. Santino,A418,6/1/1950,3/25/1980
418. Troy,A419,6/1/1950,3/25/1980
419. Caiden,A420,6/1/1950,3/25/1980
420. Harvey,A421,6/1/1950,3/25/1980
421. Collin,A422,6/1/1950,3/25/1980
422. Solomon,A423,6/1/1950,3/25/1980
423. Donovan,A424,6/1/1950,3/25/1980
424. Damon,A425,6/1/1950,3/25/1980
425. Jeffrey,A426,6/1/1950,3/25/1980
426. Kason,A427,6/1/1950,3/25/1980
427. Sage,A428,6/1/1950,3/25/1980
428. Grady,A429,6/1/1950,3/25/1980
429. Kendrick,A430,6/1/1950,3/25/1980
430. Leland,A431,6/1/1950,3/25/1980
431. Luciano,A432,6/1/1950,3/25/1980
432. Pedro,A433,6/1/1950,3/25/1980
433. Hank,A434,6/1/1950,3/25/1980
434. Hugo,A435,6/1/1950,3/25/1980
435. Esteban,A436,6/1/1950,3/25/1980
436. Johnny,A437,6/1/1950,3/25/1980
437. Kashton,A438,6/1/1950,3/25/1980
438. Ronin,A439,6/1/1950,3/25/1980
439. Ford,A440,6/1/1950,3/25/1980
440. Mathias,A441,6/1/1950,3/25/1980
441. Porter,A442,6/1/1950,3/25/1980
442. Erik,A443,6/1/1950,3/25/1980
443. Johnathan,A444,6/1/1950,3/25/1980
444. Frank,A445,6/1/1950,3/25/1980
445. Tripp,A446,6/1/1950,3/25/1980
446. Casey,A447,6/1/1950,3/25/1980
447. Fabian,A448,6/1/1950,3/25/1980
448. Leonidas,A449,6/1/1950,3/25/1980
449. Baker,A450,6/1/1950,3/25/1980
450. Matthias,A451,6/1/1950,3/25/1980
451. Philip,A452,6/1/1950,3/25/1980
452. Jayceon,A453,6/1/1950,3/25/1980
453. Kian,A454,6/1/1950,3/25/1980
454. Saint,A455,6/1/1950,3/25/1980
455. Ibrahim,A456,6/1/1950,3/25/1980
456. Jaxton,A457,6/1/1950,3/25/1980
457. Augustus,A458,6/1/1950,3/25/1980
458. Callen,A459,6/1/1950,3/25/1980
459. Trevor,A460,6/1/1950,3/25/1980
460. Ruben,A461,6/1/1950,3/25/1980
461. Adan,A462,6/1/1950,3/25/1980
462. Conor,A463,6/1/1950,3/25/1980
463. Dax,A464,6/1/1950,3/25/1980
464. Braylen,A465,6/1/1950,3/25/1980
465. Kaison,A466,6/1/1950,3/25/1980
466. Francis,A467,6/1/1950,3/25/1980
467. Kyson,A468,6/1/1950,3/25/1980
468. Andy,A469,6/1/1950,3/25/1980
469. Lucca,A470,6/1/1950,3/25/1980
470. Mack,A471,6/1/1950,3/25/1980
471. Peyton,A472,6/1/1950,3/25/1980
472. Alexis,A473,6/1/1950,3/25/1980
473. Deacon,A474,6/1/1950,3/25/1980
474. Kasen,A475,6/1/1950,3/25/1980
475. Kamden,A476,6/1/1950,3/25/1980
476. Frederick,A477,6/1/1950,3/25/1980
477. Princeton,A478,6/1/1950,3/25/1980
478. Braylon,A479,6/1/1950,3/25/1980
479. Wells,A480,6/1/1950,3/25/1980
480. Nikolai,A481,6/1/1950,3/25/1980
481. Iker,A482,6/1/1950,3/25/1980
482. Bo,A483,6/1/1950,3/25/1980
483. Dominick,A484,6/1/1950,3/25/1980
484. Moshe,A485,6/1/1950,3/25/1980
485. Cassius,A486,6/1/1950,3/25/1980
486. Gregory,A487,6/1/1950,3/25/1980
487. Lewis,A488,6/1/1950,3/25/1980
488. Kieran,A489,6/1/1950,3/25/1980
489. Isaias,A490,6/1/1950,3/25/1980
490. Seth,A491,6/1/1950,3/25/1980
491. Marcos,A492,6/1/1950,3/25/1980
492. Omari,A493,6/1/1950,3/25/1980
493. Shane,A494,6/1/1950,3/25/1980
494. Keegan,A495,6/1/1950,3/25/1980
495. Jase,A496,6/1/1950,3/25/1980
496. Asa,A497,6/1/1950,3/25/1980
497. Sonny,A498,6/1/1950,3/25/1980
498. Uriel,A499,6/1/1950,3/25/1980
499. Pierce,A500,6/1/1950,3/25/1980
500. Jasiah,A501,6/1/1950,3/25/1980
501. Eden,A502,6/1/1950,3/25/1980
502. Rocco,A503,6/1/1950,3/25/1980
503. Banks,A504,6/1/1950,3/25/1980
504. Cannon,A505,6/1/1950,3/25/1980
505. Denver,A506,6/1/1950,3/25/1980
506. Zaiden,A507,6/1/1950,3/25/1980
507. Roberto,A508,6/1/1950,3/25/1980
508. Shawn,A509,6/1/1950,3/25/1980
509. Drew,A510,6/1/1950,3/25/1980
510. Emanuel,A511,6/1/1950,3/25/1980
511. Kolton,A512,6/1/1950,3/25/1980
512. Ayaan,A513,6/1/1950,3/25/1980
513. Ares,A514,6/1/1950,3/25/1980
514. Conner,A515,6/1/1950,3/25/1980
515. Jalen,A516,6/1/1950,3/25/1980
516. Alonzo,A517,6/1/1950,3/25/1980
517. Enrique,A518,6/1/1950,3/25/1980
518. Dalton,A519,6/1/1950,3/25/1980
519. Moses,A520,6/1/1950,3/25/1980
520. Koda,A521,6/1/1950,3/25/1980
521. Bodie,A522,6/1/1950,3/25/1980
522. Jamison,A523,6/1/1950,3/25/1980
523. Phillip,A524,6/1/1950,3/25/1980
524. Zaire,A525,6/1/1950,3/25/1980
525. Jonas,A526,6/1/1950,3/25/1980
526. Kylo,A527,6/1/1950,3/25/1980
527. Moises,A528,6/1/1950,3/25/1980
528. Shepherd,A529,6/1/1950,3/25/1980
529. Allen,A530,6/1/1950,3/25/1980
530. Kenzo,A531,6/1/1950,3/25/1980
531. Mohamed,A532,6/1/1950,3/25/1980
532. Keanu,A533,6/1/1950,3/25/1980
533. Dexter,A534,6/1/1950,3/25/1980
534. Conrad,A535,6/1/1950,3/25/1980
535. Bruce,A536,6/1/1950,3/25/1980
536. Sylas,A537,6/1/1950,3/25/1980
537. Soren,A538,6/1/1950,3/25/1980
538. Raphael,A539,6/1/1950,3/25/1980
539. Rowen,A540,6/1/1950,3/25/1980
540. Gunnar,A541,6/1/1950,3/25/1980
541. Sutton,A542,6/1/1950,3/25/1980
542. Quentin,A543,6/1/1950,3/25/1980
543. Jaziel,A544,6/1/1950,3/25/1980
544. Emmitt,A545,6/1/1950,3/25/1980
545. Makai,A546,6/1/1950,3/25/1980
546. Koa,A547,6/1/1950,3/25/1980
547. Maximilian,A548,6/1/1950,3/25/1980
548. Brixton,A549,6/1/1950,3/25/1980
549. Dariel,A550,6/1/1950,3/25/1980
550. Zachariah,A551,6/1/1950,3/25/1980
551. Roy,A552,6/1/1950,3/25/1980
552. Armando,A553,6/1/1950,3/25/1980
553. Corey,A554,6/1/1950,3/25/1980
554. Saul,A555,6/1/1950,3/25/1980
555. Izaiah,A556,6/1/1950,3/25/1980
556. Danny,A557,6/1/1950,3/25/1980
557. Davis,A558,6/1/1950,3/25/1980
558. Ridge,A559,6/1/1950,3/25/1980
559. Yusuf,A560,6/1/1950,3/25/1980
560. Ariel,A561,6/1/1950,3/25/1980
561. Valentino,A562,6/1/1950,3/25/1980
562. Jayson,A563,6/1/1950,3/25/1980
563. Ronald,A564,6/1/1950,3/25/1980
564. Albert,A565,6/1/1950,3/25/1980
565. Gerardo,A566,6/1/1950,3/25/1980
566. Ryland,A567,6/1/1950,3/25/1980
567. Dorian,A568,6/1/1950,3/25/1980
568. Drake,A569,6/1/1950,3/25/1980
569. Gage,A570,6/1/1950,3/25/1980
570. Rodrigo,A571,6/1/1950,3/25/1980
571. Hezekiah,A572,6/1/1950,3/25/1980
572. Kylan,A573,6/1/1950,3/25/1980
573. Boone,A574,6/1/1950,3/25/1980
574. Ledger,A575,6/1/1950,3/25/1980
575. Santana,A576,6/1/1950,3/25/1980
576. Jamari,A577,6/1/1950,3/25/1980
577. Jamir,A578,6/1/1950,3/25/1980
578. Lawrence,A579,6/1/1950,3/25/1980
579. Reece,A580,6/1/1950,3/25/1980
580. Kaysen,A581,6/1/1950,3/25/1980
581. Shiloh,A582,6/1/1950,3/25/1980
582. Arjun,A583,6/1/1950,3/25/1980
583. Marcelo,A584,6/1/1950,3/25/1980
584. Abram,A585,6/1/1950,3/25/1980
585. Benson,A586,6/1/1950,3/25/1980
586. Huxley,A587,6/1/1950,3/25/1980
587. Nikolas,A588,6/1/1950,3/25/1980
588. Zain,A589,6/1/1950,3/25/1980
589. Kohen,A590,6/1/1950,3/25/1980
590. Samson,A591,6/1/1950,3/25/1980
591. Miller,A592,6/1/1950,3/25/1980
592. Donald,A593,6/1/1950,3/25/1980
593. Finnley,A594,6/1/1950,3/25/1980
594. Kannon,A595,6/1/1950,3/25/1980
595. Lucian,A596,6/1/1950,3/25/1980
596. Watson,A597,6/1/1950,3/25/1980
597. Keith,A598,6/1/1950,3/25/1980
598. Westin,A599,6/1/1950,3/25/1980
599. Tadeo,A600,6/1/1950,3/25/1980
600. Sincere,A601,6/1/1950,3/25/1980
601. Boston,A602,6/1/1950,3/25/1980
602. Axton,A603,6/1/1950,3/25/1980
603. Amos,A604,6/1/1950,3/25/1980
604. Chandler,A605,6/1/1950,3/25/1980
605. Leandro,A606,6/1/1950,3/25/1980
606. Raul,A607,6/1/1950,3/25/1980
607. Scott,A608,6/1/1950,3/25/1980
608. Reign,A609,6/1/1950,3/25/1980
609. Alessandro,A610,6/1/1950,3/25/1980
610. Camilo,A611,6/1/1950,3/25/1980
611. Derrick,A612,6/1/1950,3/25/1980
612. Morgan,A613,6/1/1950,3/25/1980
613. Julio,A614,6/1/1950,3/25/1980
614. Clay,A615,6/1/1950,3/25/1980
615. Edison,A616,6/1/1950,3/25/1980
616. Jaime,A617,6/1/1950,3/25/1980
617. Augustine,A618,6/1/1950,3/25/1980
618. Julien,A619,6/1/1950,3/25/1980
619. Zeke,A620,6/1/1950,3/25/1980
620. Marvin,A621,6/1/1950,3/25/1980
621. Bellamy,A622,6/1/1950,3/25/1980
622. Landen,A623,6/1/1950,3/25/1980
623. Dustin,A624,6/1/1950,3/25/1980
624. Jamie,A625,6/1/1950,3/25/1980
625. Krew,A626,6/1/1950,3/25/1980
626. Kyree,A627,6/1/1950,3/25/1980
627. Colter,A628,6/1/1950,3/25/1980
628. Johan,A629,6/1/1950,3/25/1980
629. Houston,A630,6/1/1950,3/25/1980
630. Layton,A631,6/1/1950,3/25/1980
631. Quincy,A632,6/1/1950,3/25/1980
632. Case,A633,6/1/1950,3/25/1980
633. Atreus,A634,6/1/1950,3/25/1980
634. Cayson,A635,6/1/1950,3/25/1980
635. Aarav,A636,6/1/1950,3/25/1980
636. Darius,A637,6/1/1950,3/25/1980
637. Harlan,A638,6/1/1950,3/25/1980
638. Justice,A639,6/1/1950,3/25/1980
639. Abdiel,A640,6/1/1950,3/25/1980
640. Layne,A641,6/1/1950,3/25/1980
641. Raylan,A642,6/1/1950,3/25/1980
642. Arturo,A643,6/1/1950,3/25/1980
643. Taylor,A644,6/1/1950,3/25/1980
644. Anakin,A645,6/1/1950,3/25/1980
645. Ander,A646,6/1/1950,3/25/1980
646. Hamza,A647,6/1/1950,3/25/1980
647. Otis,A648,6/1/1950,3/25/1980
648. Azariah,A649,6/1/1950,3/25/1980
649. Leonard,A650,6/1/1950,3/25/1980
650. Colby,A651,6/1/1950,3/25/1980
651. Duke,A652,6/1/1950,3/25/1980
652. Flynn,A653,6/1/1950,3/25/1980
653. Trey,A654,6/1/1950,3/25/1980
654. Gustavo,A655,6/1/1950,3/25/1980
655. Fletcher,A656,6/1/1950,3/25/1980
656. Issac,A657,6/1/1950,3/25/1980
657. Sam,A658,6/1/1950,3/25/1980
658. Trenton,A659,6/1/1950,3/25/1980
659. Callahan,A660,6/1/1950,3/25/1980
660. Chris,A661,6/1/1950,3/25/1980
661. Mohammad,A662,6/1/1950,3/25/1980
662. Rayan,A663,6/1/1950,3/25/1980
663. Lionel,A664,6/1/1950,3/25/1980
664. Bruno,A665,6/1/1950,3/25/1980
665. Jaxxon,A666,6/1/1950,3/25/1980
666. Zaid,A667,6/1/1950,3/25/1980
667. Brycen,A668,6/1/1950,3/25/1980
668. Roland,A669,6/1/1950,3/25/1980
669. Dillon,A670,6/1/1950,3/25/1980
670. Lennon,A671,6/1/1950,3/25/1980
671. Ambrose,A672,6/1/1950,3/25/1980
672. Rio,A673,6/1/1950,3/25/1980
673. Mac,A674,6/1/1950,3/25/1980
674. Ahmed,A675,6/1/1950,3/25/1980
675. Samir,A676,6/1/1950,3/25/1980
676. Yosef,A677,6/1/1950,3/25/1980
677. Tru,A678,6/1/1950,3/25/1980
678. Creed,A679,6/1/1950,3/25/1980
679. Tony,A680,6/1/1950,3/25/1980
680. Alden,A681,6/1/1950,3/25/1980
681. Aden,A682,6/1/1950,3/25/1980
682. Alec,A683,6/1/1950,3/25/1980
683. Carmelo,A684,6/1/1950,3/25/1980
684. Dario,A685,6/1/1950,3/25/1980
685. Marcel,A686,6/1/1950,3/25/1980
686. Roger,A687,6/1/1950,3/25/1980
687. Ty,A688,6/1/1950,3/25/1980
688. Ahmad,A689,6/1/1950,3/25/1980
689. Emir,A690,6/1/1950,3/25/1980
690. Landyn,A691,6/1/1950,3/25/1980
691. Skyler,A692,6/1/1950,3/25/1980
692. Mohammed,A693,6/1/1950,3/25/1980
693. Dennis,A694,6/1/1950,3/25/1980
694. Kareem,A695,6/1/1950,3/25/1980
695. Nixon,A696,6/1/1950,3/25/1980
696. Rex,A697,6/1/1950,3/25/1980
697. Uriah,A698,6/1/1950,3/25/1980
698. Lee,A699,6/1/1950,3/25/1980
699. Louie,A700,6/1/1950,3/25/1980
700. Rayden,A701,6/1/1950,3/25/1980
701. Reese,A702,6/1/1950,3/25/1980
702. Alberto,A703,6/1/1950,3/25/1980
703. Cason,A704,6/1/1950,3/25/1980
704. Quinton,A705,6/1/1950,3/25/1980
705. Kingsley,A706,6/1/1950,3/25/1980
706. Chaim,A707,6/1/1950,3/25/1980
707. Alfredo,A708,6/1/1950,3/25/1980
708. Mauricio,A709,6/1/1950,3/25/1980
709. Caspian,A710,6/1/1950,3/25/1980
710. Legacy,A711,6/1/1950,3/25/1980
711. Ocean,A712,6/1/1950,3/25/1980
712. Ozzy,A713,6/1/1950,3/25/1980
713. Briar,A714,6/1/1950,3/25/1980
714. Wilson,A715,6/1/1950,3/25/1980
715. Forest,A716,6/1/1950,3/25/1980
716. Grey,A717,6/1/1950,3/25/1980
717. Joziah,A718,6/1/1950,3/25/1980
718. Salem,A719,6/1/1950,3/25/1980
719. Neil,A720,6/1/1950,3/25/1980
720. Remi,A721,6/1/1950,3/25/1980
721. Bridger,A722,6/1/1950,3/25/1980
722. Harry,A723,6/1/1950,3/25/1980
723. Jefferson,A724,6/1/1950,3/25/1980
724. Lachlan,A725,6/1/1950,3/25/1980
725. Nelson,A726,6/1/1950,3/25/1980
726. Casen,A727,6/1/1950,3/25/1980
727. Salvador,A728,6/1/1950,3/25/1980
728. Magnus,A729,6/1/1950,3/25/1980
729. Tommy,A730,6/1/1950,3/25/1980
730. Marcellus,A731,6/1/1950,3/25/1980
731. Maximo,A732,6/1/1950,3/25/1980
732. Jerry,A733,6/1/1950,3/25/1980
733. Clyde,A734,6/1/1950,3/25/1980
734. Aron,A735,6/1/1950,3/25/1980
735. Keaton,A736,6/1/1950,3/25/1980
736. Eliam,A737,6/1/1950,3/25/1980
737. Lian,A738,6/1/1950,3/25/1980
738. Trace,A739,6/1/1950,3/25/1980
739. Douglas,A740,6/1/1950,3/25/1980
740. Junior,A741,6/1/1950,3/25/1980
741. Titan,A742,6/1/1950,3/25/1980
742. Cullen,A743,6/1/1950,3/25/1980
743. Cillian,A744,6/1/1950,3/25/1980
744. Musa,A745,6/1/1950,3/25/1980
745. Mylo,A746,6/1/1950,3/25/1980
746. Hugh,A747,6/1/1950,3/25/1980
747. Tomas,A748,6/1/1950,3/25/1980
748. Vincenzo,A749,6/1/1950,3/25/1980
749. Westley,A750,6/1/1950,3/25/1980
750. Langston,A751,6/1/1950,3/25/1980
751. Byron,A752,6/1/1950,3/25/1980
752. Kiaan,A753,6/1/1950,3/25/1980
753. Loyal,A754,6/1/1950,3/25/1980
754. Orlando,A755,6/1/1950,3/25/1980
755. Kyro,A756,6/1/1950,3/25/1980
756. Amias,A757,6/1/1950,3/25/1980
757. Amiri,A758,6/1/1950,3/25/1980
758. Jimmy,A759,6/1/1950,3/25/1980
759. Vicente,A760,6/1/1950,3/25/1980
760. Khari,A761,6/1/1950,3/25/1980
761. Brendan,A762,6/1/1950,3/25/1980
762. Rey,A763,6/1/1950,3/25/1980
763. Ben,A764,6/1/1950,3/25/1980
764. Emery,A765,6/1/1950,3/25/1980
765. Zyair,A766,6/1/1950,3/25/1980
766. Bjorn,A767,6/1/1950,3/25/1980
767. Evander,A768,6/1/1950,3/25/1980
768. Ramon,A769,6/1/1950,3/25/1980
769. Alvin,A770,6/1/1950,3/25/1980
770. Ricky,A771,6/1/1950,3/25/1980
771. Jagger,A772,6/1/1950,3/25/1980
772. Brock,A773,6/1/1950,3/25/1980
773. Dakari,A774,6/1/1950,3/25/1980
774. Eddie,A775,6/1/1950,3/25/1980
775. Blaze,A776,6/1/1950,3/25/1980
776. Gatlin,A777,6/1/1950,3/25/1980
777. Alonso,A778,6/1/1950,3/25/1980
778. Curtis,A779,6/1/1950,3/25/1980
779. Kylian,A780,6/1/1950,3/25/1980
780. Nathanael,A781,6/1/1950,3/25/1980
781. Devon,A782,6/1/1950,3/25/1980
782. Wayne,A783,6/1/1950,3/25/1980
783. Zakai,A784,6/1/1950,3/25/1980
784. Mathew,A785,6/1/1950,3/25/1980
785. Rome,A786,6/1/1950,3/25/1980
786. Riggs,A787,6/1/1950,3/25/1980
787. Aryan,A788,6/1/1950,3/25/1980
788. Avi,A789,6/1/1950,3/25/1980
789. Hassan,A790,6/1/1950,3/25/1980
790. Lochlan,A791,6/1/1950,3/25/1980
791. Stanley,A792,6/1/1950,3/25/1980
792. Dash,A793,6/1/1950,3/25/1980
793. Kaiser,A794,6/1/1950,3/25/1980
794. Benicio,A795,6/1/1950,3/25/1980
795. Bryant,A796,6/1/1950,3/25/1980
796. Talon,A797,6/1/1950,3/25/1980
797. Rohan,A798,6/1/1950,3/25/1980
798. Wesson,A799,6/1/1950,3/25/1980
799. Joe,A800,6/1/1950,3/25/1980
800. Noe,A801,6/1/1950,3/25/1980
801. Melvin,A802,6/1/1950,3/25/1980
802. Vihaan,A803,6/1/1950,3/25/1980
803. Zayd,A804,6/1/1950,3/25/1980
804. Darren,A805,6/1/1950,3/25/1980
805. Enoch,A806,6/1/1950,3/25/1980
806. Mitchell,A807,6/1/1950,3/25/1980
807. Jedidiah,A808,6/1/1950,3/25/1980
808. Brodie,A809,6/1/1950,3/25/1980
809. Castiel,A810,6/1/1950,3/25/1980
810. Ira,A811,6/1/1950,3/25/1980
811. Lance,A812,6/1/1950,3/25/1980
812. Guillermo,A813,6/1/1950,3/25/1980
813. Thatcher,A814,6/1/1950,3/25/1980
814. Ermias,A815,6/1/1950,3/25/1980
815. Misael,A816,6/1/1950,3/25/1980
816. Jakari,A817,6/1/1950,3/25/1980
817. Emory,A818,6/1/1950,3/25/1980
818. Mccoy,A819,6/1/1950,3/25/1980
819. Rudy,A820,6/1/1950,3/25/1980
820. Thaddeus,A821,6/1/1950,3/25/1980
821. Valentin,A822,6/1/1950,3/25/1980
822. Yehuda,A823,6/1/1950,3/25/1980
823. Bode,A824,6/1/1950,3/25/1980
824. Madden,A825,6/1/1950,3/25/1980
825. Kase,A826,6/1/1950,3/25/1980
826. Bear,A827,6/1/1950,3/25/1980
827. Boden,A828,6/1/1950,3/25/1980
828. Jiraiya,A829,6/1/1950,3/25/1980
829. Maurice,A830,6/1/1950,3/25/1980
830. Alvaro,A831,6/1/1950,3/25/1980
831. Ameer,A832,6/1/1950,3/25/1980
832. Demetrius,A833,6/1/1950,3/25/1980
833. Eliseo,A834,6/1/1950,3/25/1980
834. Kabir,A835,6/1/1950,3/25/1980
835. Kellan,A836,6/1/1950,3/25/1980
836. Allan,A837,6/1/1950,3/25/1980
837. Azrael,A838,6/1/1950,3/25/1980
838. Calum,A839,6/1/1950,3/25/1980
839. Niklaus,A840,6/1/1950,3/25/1980
840. Ray,A841,6/1/1950,3/25/1980
841. Damari,A842,6/1/1950,3/25/1980
842. Elio,A843,6/1/1950,3/25/1980
843. Jon,A844,6/1/1950,3/25/1980
844. Leighton,A845,6/1/1950,3/25/1980
845. Axl,A846,6/1/1950,3/25/1980
846. Dane,A847,6/1/1950,3/25/1980
847. Eithan,A848,6/1/1950,3/25/1980
848. Eugene,A849,6/1/1950,3/25/1980
849. Kenji,A850,6/1/1950,3/25/1980
850. Jakob,A851,6/1/1950,3/25/1980
851. Colten,A852,6/1/1950,3/25/1980
852. Eliel,A853,6/1/1950,3/25/1980
853. Nova,A854,6/1/1950,3/25/1980
854. Santos,A855,6/1/1950,3/25/1980
855. Zahir,A856,6/1/1950,3/25/1980
856. Idris,A857,6/1/1950,3/25/1980
857. Ishaan,A858,6/1/1950,3/25/1980
858. Kole,A859,6/1/1950,3/25/1980
859. Korbin,A860,6/1/1950,3/25/1980
860. Seven,A861,6/1/1950,3/25/1980
861. Alaric,A862,6/1/1950,3/25/1980
862. Kellen,A863,6/1/1950,3/25/1980
863. Bronson,A864,6/1/1950,3/25/1980
864. Franco,A865,6/1/1950,3/25/1980
865. Wes,A866,6/1/1950,3/25/1980
866. Larry,A867,6/1/1950,3/25/1980
867. Mekhi,A868,6/1/1950,3/25/1980
868. Jamal,A869,6/1/1950,3/25/1980
869. Dilan,A870,6/1/1950,3/25/1980
870. Elisha,A871,6/1/1950,3/25/1980
871. Brennan,A872,6/1/1950,3/25/1980
872. Kace,A873,6/1/1950,3/25/1980
873. Van,A874,6/1/1950,3/25/1980
874. Felipe,A875,6/1/1950,3/25/1980
875. Fisher,A876,6/1/1950,3/25/1980
876. Cal,A877,6/1/1950,3/25/1980
877. Dior,A878,6/1/1950,3/25/1980
878. Judson,A879,6/1/1950,3/25/1980
879. Alfonso,A880,6/1/1950,3/25/1980
880. Deandre,A881,6/1/1950,3/25/1980
881. Rocky,A882,6/1/1950,3/25/1980
882. Henrik,A883,6/1/1950,3/25/1980
883. Reuben,A884,6/1/1950,3/25/1980
884. Anders,A885,6/1/1950,3/25/1980
885. Arian,A886,6/1/1950,3/25/1980
886. Damir,A887,6/1/1950,3/25/1980
887. Jacoby,A888,6/1/1950,3/25/1980
888. Khalid,A889,6/1/1950,3/25/1980
889. Kye,A890,6/1/1950,3/25/1980
890. Mustafa,A891,6/1/1950,3/25/1980
891. Jadiel,A892,6/1/1950,3/25/1980
892. Stefan,A893,6/1/1950,3/25/1980
893. Yousef,A894,6/1/1950,3/25/1980
894. Aydin,A895,6/1/1950,3/25/1980
895. Jericho,A896,6/1/1950,3/25/1980
896. Robin,A897,6/1/1950,3/25/1980
897. Wallace,A898,6/1/1950,3/25/1980
898. Alistair,A899,6/1/1950,3/25/1980
899. Davion,A900,6/1/1950,3/25/1980
900. Alfred,A901,6/1/1950,3/25/1980
901. Ernesto,A902,6/1/1950,3/25/1980
902. Kyng,A903,6/1/1950,3/25/1980
903. Everest,A904,6/1/1950,3/25/1980
904. Gary,A905,6/1/1950,3/25/1980
905. Leroy,A906,6/1/1950,3/25/1980
906. Yahir,A907,6/1/1950,3/25/1980
907. Braden,A908,6/1/1950,3/25/1980
908. Kelvin,A909,6/1/1950,3/25/1980
909. Kristian,A910,6/1/1950,3/25/1980
910. Adler,A911,6/1/1950,3/25/1980
911. Avyaan,A912,6/1/1950,3/25/1980
912. Brayan,A913,6/1/1950,3/25/1980
913. Jones,A914,6/1/1950,3/25/1980
914. Truett,A915,6/1/1950,3/25/1980
915. Aries,A916,6/1/1950,3/25/1980
916. Joey,A917,6/1/1950,3/25/1980
917. Randy,A918,6/1/1950,3/25/1980
918. Jaxx,A919,6/1/1950,3/25/1980
919. Jesiah,A920,6/1/1950,3/25/1980
920. Jovanni,A921,6/1/1950,3/25/1980
921. Azriel,A922,6/1/1950,3/25/1980
922. Brecken,A923,6/1/1950,3/25/1980
923. Harley,A924,6/1/1950,3/25/1980
924. Zechariah,A925,6/1/1950,3/25/1980
925. Gordon,A926,6/1/1950,3/25/1980
926. Jakai,A927,6/1/1950,3/25/1980
927. Carl,A928,6/1/1950,3/25/1980
928. Graysen,A929,6/1/1950,3/25/1980
929. Kylen,A930,6/1/1950,3/25/1980
930. Ayan,A931,6/1/1950,3/25/1980
931. Branson,A932,6/1/1950,3/25/1980
932. Crosby,A933,6/1/1950,3/25/1980
933. Dominik,A934,6/1/1950,3/25/1980
934. Jabari,A935,6/1/1950,3/25/1980
935. Jaxtyn,A936,6/1/1950,3/25/1980
936. Kristopher,A937,6/1/1950,3/25/1980
937. Ulises,A938,6/1/1950,3/25/1980
938. Zyon,A939,6/1/1950,3/25/1980
939. Fox,A940,6/1/1950,3/25/1980
940. Howard,A941,6/1/1950,3/25/1980
941. Salvatore,A942,6/1/1950,3/25/1980
942. Turner,A943,6/1/1950,3/25/1980
943. Vance,A944,6/1/1950,3/25/1980
944. Harlem,A945,6/1/1950,3/25/1980
945. Jair,A946,6/1/1950,3/25/1980
946. Jakobe,A947,6/1/1950,3/25/1980
947. Jeremias,A948,6/1/1950,3/25/1980
948. Osiris,A949,6/1/1950,3/25/1980
949. Azael,A950,6/1/1950,3/25/1980
950. Bowie,A951,6/1/1950,3/25/1980
951. Canaan,A952,6/1/1950,3/25/1980
952. Elon,A953,6/1/1950,3/25/1980
953. Granger,A954,6/1/1950,3/25/1980
954. Karsyn,A955,6/1/1950,3/25/1980
955. Zavier,A956,6/1/1950,3/25/1980
956. Cain,A957,6/1/1950,3/25/1980
957. Dangelo,A958,6/1/1950,3/25/1980
958. Heath,A959,6/1/1950,3/25/1980
959. Yisroel,A960,6/1/1950,3/25/1980
960. Gian,A961,6/1/1950,3/25/1980
961. Shepard,A962,6/1/1950,3/25/1980
962. Harold,A963,6/1/1950,3/25/1980
963. Kamdyn,A964,6/1/1950,3/25/1980
964. Rene,A965,6/1/1950,3/25/1980
965. Rodney,A966,6/1/1950,3/25/1980
966. Yaakov,A967,6/1/1950,3/25/1980
967. Adrien,A968,6/1/1950,3/25/1980
968. Kartier,A969,6/1/1950,3/25/1980
969. Cassian,A970,6/1/1950,3/25/1980
970. Coleson,A971,6/1/1950,3/25/1980
971. Ahmir,A972,6/1/1950,3/25/1980
972. Darian,A973,6/1/1950,3/25/1980
973. Genesis,A974,6/1/1950,3/25/1980
974. Kalel,A975,6/1/1950,3/25/1980
975. Agustin,A976,6/1/1950,3/25/1980
976. Wylder,A977,6/1/1950,3/25/1980
977. Yadiel,A978,6/1/1950,3/25/1980
978. Ephraim,A979,6/1/1950,3/25/1980
979. Kody,A980,6/1/1950,3/25/1980
980. Neo,A981,6/1/1950,3/25/1980
981. Ignacio,A982,6/1/1950,3/25/1980
982. Osman,A983,6/1/1950,3/25/1980
983. Aldo,A984,6/1/1950,3/25/1980
984. Abdullah,A985,6/1/1950,3/25/1980
985. Cory,A986,6/1/1950,3/25/1980
986. Blaine,A987,6/1/1950,3/25/1980
987. Dimitri,A988,6/1/1950,3/25/1980
988. Khai,A989,6/1/1950,3/25/1980
989. Landry,A990,6/1/1950,3/25/1980
990. Palmer,A991,6/1/1950,3/25/1980
991. Benedict,A992,6/1/1950,3/25/1980
992. Leif,A993,6/1/1950,3/25/1980
993. Koen,A994,6/1/1950,3/25/1980
994. Maxton,A995,6/1/1950,3/25/1980
995. Mordechai,A996,6/1/1950,3/25/1980
996. Zev,A997,6/1/1950,3/25/1980
997. Atharv,A998,6/1/1950,3/25/1980
998. Bishop,A999,6/1/1950,3/25/1980
999. Blaise,A1000,6/1/1950,3/25/1980
1000. Davian,A1001,6/1/1950,3/25/1980
1. Liam,A2,5/10/1980,3/25/1980
